,Area,1st most common venue,2nd most common venue,3rd most common venue,4th most common venue,5th most common venue,6th most common venue,7th most common venue,8th most common venue,9th most common venue,10th most common venue,11th most common venue,12th most common venue,13th most common venue,14th most common venue,15th most common venue
0,A. S. Rao Nagar,Café,Pizzeria,Indian Restaurant,Burger Joint,Chinese Restaurant,Bakery,Fast Food Restaurant,Hospital,Ice Cream Parlor,Indie Movie Theater,Lake,Clothing Store,Mobile Phone Store,Retail,Miscellaneous Store
1,A.C. Guards,Indian Restaurant,Bakery,Café,Movie Theater,Hotel,Restaurant,South Indian Restaurant,Juice Bar,Chinese Restaurant,Diner,Bistro,Science Museum,Shopping Mall,Performing Arts Venue,"Cafe, Coffee, and Tea House"
2,Abids,Indian Restaurant,Bakery,South Indian Restaurant,Movie Theater,Restaurant,Café,Diner,Ice Cream Parlor,Retail,Chinese Restaurant,Burger Joint,Juice Bar,Hotel,French Restaurant,"Cafe, Coffee, and Tea House"
3,Addagutta,Restaurant,Bakery,Indian Restaurant,Asian Restaurant,Movie Theater,Coffee Shop,Café,Pub,BBQ Joint,Burger Joint,French Restaurant,Hookah Bar,Dessert Shop,Juice Bar,Public Transportation
4,Adikmet,Indian Restaurant,Restaurant,Bakery,Chinese Restaurant,Movie Theater,Juice Bar,Ice Cream Parlor,Deli,Café,Burger Joint,Lounge,Breakfast Spot,South Indian Restaurant,"Cafe, Coffee, and Tea House",Gaming Cafe
5,Aghapura,Indian Restaurant,Bakery,South Indian Restaurant,Juice Bar,Chinese Restaurant,Diner,Movie Theater,Retail,Ice Cream Parlor,Café,History Museum,Coffee Shop,Breakfast Spot,"Cafe, Coffee, and Tea House",Dessert Shop
6,Allwyn Colony,Bakery,Indian Restaurant,Restaurant,BBQ Joint,Pizzeria,Movie Theater,Sports and Recreation,Retail,Hotel,Shopping Mall,Fast Food Restaurant,Chinese Restaurant,Cocktail Bar,Clothing Store,Breakfast Spot
7,Alwal,Restaurant,Pizzeria,Burger Joint,Bakery,Movie Theater,Sports and Recreation,Café,BBQ Joint,Deli,Fast Food Restaurant,Italian Restaurant,Diner,Park,Bowling Alley,Furniture and Home Store
8,Amberpet,Movie Theater,Indian Restaurant,Restaurant,Diner,Juice Bar,Bakery,South Indian Restaurant,Ice Cream Parlor,Retail,Food Truck,Café,Landmarks and Outdoors,French Restaurant,Burger Joint,Chaat Place
9,Ameenpur,Fast Food Restaurant,Indian Restaurant,Bakery,Government Building,Department Store,Clothing Store,Retail,Hindu Temple,Shoe Store,Pizzeria,Men's Store,Electronics Store,Sporting Goods Retail,Butcher,Post Office
10,Ameerpet,Indian Restaurant,Bakery,Restaurant,Bar,Retail,Fast Food Restaurant,Chinese Restaurant,Deli,Movie Theater,Coffee Shop,Ice Cream Parlor,Performing Arts Venue,Hotel Bar,Park,"Cafe, Coffee, and Tea House"
11,Ammuguda,Café,Pizzeria,Indian Restaurant,Burger Joint,Bakery,Deli,Chinese Restaurant,Restaurant,Fast Food Restaurant,Lake,Hospital,Ice Cream Parlor,Temple,Snack Place,Veterinarian
12,Anandbagh,Pizzeria,Indian Restaurant,Café,Burger Joint,Restaurant,Bakery,Deli,Movie Theater,Ice Cream Parlor,Chinese Restaurant,Fast Food Restaurant,Sports and Recreation,"Cafe, Coffee, and Tea House",Snack Place,Breakfast Spot
13,Ashok Nagar,Pizzeria,Indian Restaurant,Bakery,Café,Movie Theater,Stadium,Coffee Shop,Bar,Restaurant,Night Club,Fast Food Restaurant,Sports and Recreation,Clothing Store,Furniture and Home Store,Flea Market
14,Asif Nagar,Indian Restaurant,Bakery,Hotel,South Indian Restaurant,Café,BBQ Joint,Diner,Juice Bar,Movie Theater,Restaurant,Shopping Mall,Food Truck,Science Museum,"Cafe, Coffee, and Tea House",Bistro
15,Attapur,Indian Restaurant,Café,Restaurant,Bakery,South Indian Restaurant,Movie Theater,Historic and Protected Site,Juice Bar,Dessert Shop,Shopping Mall,Coffee Shop,Park,Zoo,Diner,Bistro
16,Azamabad,Restaurant,Dessert Shop,Pizzeria,Fast Food Restaurant,Bakery,BBQ Joint,Indian Restaurant,Grocery Store,Office Building,Hospital,Camera Store,Spiritual Center,Department Store,Courthouse,Movie Theater
17,BHEL Township,Pizzeria,Retail,Fast Food Restaurant,Indian Restaurant,Bakery,Government Building,Hospital,Convenience Store,Department Store,Asian Restaurant,Bicycle Store,Medical Center,Eyecare Store,Men's Store,Mosque
18,Bachupally,Pizzeria,Bakery,Indian Restaurant,Movie Theater,Deli,Furniture and Home Store,Fast Food Restaurant,Coffee Shop,Bar,Automotive Retail,Healthcare Clinic,Butcher,Shopping Mall,Café,Residential Building
19,Badangpet,Movie Theater,Temple,Garden Center,Park,Pizzeria,Hookah Bar,Government Building,Clothing Store,Restaurant,Health and Medicine,Afghan Restaurant,Middle Eastern Restaurant,Garden,Furniture and Home Store,Mediterranean Restaurant
20,Badichowdi,Indian Restaurant,Restaurant,South Indian Restaurant,Bakery,Movie Theater,Juice Bar,Chinese Restaurant,Retail,Café,Ice Cream Parlor,Diner,History Museum,Food Truck,Landmarks and Outdoors,Burger Joint
21,Bagh Lingampally,Indian Restaurant,Restaurant,South Indian Restaurant,Bakery,Movie Theater,Café,Juice Bar,Chinese Restaurant,Retail,Ice Cream Parlor,Diner,History Museum,Food Truck,Landmarks and Outdoors,Burger Joint
22,Bairamalguda,Pizzeria,Movie Theater,Indian Restaurant,Retail,Park,Ice Cream Parlor,Restaurant,Asian Restaurant,Coffee Shop,Temple,Burger Joint,Bowling Alley,Breakfast Spot,South Indian Restaurant,Electronics Store
23,Balanagar,Indian Restaurant,Restaurant,Bakery,Retail,Chinese Restaurant,Fast Food Restaurant,Pizzeria,Ice Cream Parlor,Deli,Pub,Hotel,Breakfast Spot,Bookstore,Sports and Recreation,Shopping Mall
24,Balapur,Restaurant,Indian Restaurant,Pizzeria,Afghan Restaurant,Office Building,Bakery,Juice Bar,Health and Medicine,High School,Clothing Store,Hospital,Movie Theater,College and University,Coffee Shop,Police Station
25,Balkampet,Indian Restaurant,Bakery,Restaurant,Movie Theater,Retail,Chinese Restaurant,Deli,Bar,Coffee Shop,Ice Cream Parlor,Asian Restaurant,Night Club,Fast Food Restaurant,"Cafe, Coffee, and Tea House",Café
26,Bandlaguda,Movie Theater,Indian Restaurant,Pizzeria,Temple,Ice Cream Parlor,Shopping Mall,Restaurant,Coffee Shop,South Indian Restaurant,Café,Clothing Store,Concert Hall,Hotel,Zoo,Deli
27,Banjara Hills,Restaurant,Bar,Bakery,Indian Restaurant,Asian Restaurant,Coffee Shop,Café,Retail,Ice Cream Parlor,"Cafe, Coffee, and Tea House",Fast Food Restaurant,Movie Theater,Lounge,Breakfast Spot,Bookstore
28,Bank Street,Indian Restaurant,Restaurant,South Indian Restaurant,Bakery,History Museum,Retail,Chinese Restaurant,Ice Cream Parlor,Movie Theater,Café,Diner,Juice Bar,Lounge,French Restaurant,Burger Joint
29,Barkatpura,Indian Restaurant,Restaurant,Movie Theater,Bakery,Café,Chinese Restaurant,Retail,Juice Bar,Diner,Ice Cream Parlor,South Indian Restaurant,Museum,Mobile Phone Store,Breakfast Spot,Hotel
30,Beeramguda,Bakery,Fast Food Restaurant,Retail,Indian Restaurant,Department Store,Pizzeria,Government Building,Shoe Store,Grocery Store,Housing Development,Post Office,Medical Center,Eyecare Store,Men's Store,Miscellaneous Store
31,Begumpet,Indian Restaurant,Restaurant,Chinese Restaurant,Movie Theater,Bar,Fast Food Restaurant,Asian Restaurant,Retail,Pub,Diner,Performing Arts Venue,Burger Joint,Public Transportation,"Cafe, Coffee, and Tea House",Bookstore
32,Bharat Nagar,Indian Restaurant,Restaurant,Bar,BBQ Joint,Café,Historic and Protected Site,Ice Cream Parlor,Arts and Entertainment,Bakery,Dessert Shop,Coffee Shop,Beer Garden,Gastropub,"Cafe, Coffee, and Tea House",Cocktail Bar
33,Boduppal,Pizzeria,Movie Theater,Retail,Indian Restaurant,Bakery,Café,Burger Joint,Restaurant,Breakfast Spot,Clothing Store,Education,Garden,Bicycle Store,Cricket Ground,Food Truck
34,Boggulkunta,Movie Theater,Indian Restaurant,South Indian Restaurant,Bakery,Restaurant,Diner,Ice Cream Parlor,Retail,Chinese Restaurant,Café,Juice Bar,Hotel,Food Truck,French Restaurant,Dessert Shop
35,Borabanda,Indian Restaurant,Bar,Restaurant,Ice Cream Parlor,Café,Bakery,Deli,BBQ Joint,Breakfast Spot,Sports Bar,Bowling Alley,Hotel,Brewery,Retail,Snack Place
36,Bowenpally,Restaurant,Indian Restaurant,Pub,Hotel,Chinese Restaurant,Sports and Recreation,Deli,Bakery,BBQ Joint,Pizzeria,Hotel Bar,Burger Joint,Juice Bar,Public Transportation,Café
37,Champapet,Restaurant,Pizzeria,Movie Theater,Indian Restaurant,Ice Cream Parlor,Café,Fast Food Restaurant,Temple,South Indian Restaurant,Coffee Shop,Bowling Alley,Motorcycle Dealership,Museum,Monument,Chaat Place
38,Chanda Nagar,Pizzeria,Bakery,Indian Restaurant,Restaurant,Night Club,Movie Theater,Café,Stadium,Fast Food Restaurant,Bar,BBQ Joint,Snack Place,"Cafe, Coffee, and Tea House",Retail,Chinese Restaurant
39,Chengicherla,Pizzeria,Movie Theater,Retail,Café,Indian Restaurant,Bakery,Garden,Clothing Store,Burger Joint,Hotel,Lounge,Bridge,Chinese Restaurant,Food Truck,Bicycle Store
40,Cheriyal,Indian Restaurant,Bakery,Movie Theater,Juice Bar,Restaurant,South Indian Restaurant,Burger Joint,Chinese Restaurant,Ice Cream Parlor,Café,Diner,Retail,"Cafe, Coffee, and Tea House",Lounge,Dessert Shop
41,Cherlapally,Pizzeria,Indian Restaurant,Hospital,Bakery,Café,Retail,Movie Theater,Electronics Store,Burger Joint,Miscellaneous Store,Garden,Housing Development,Restaurant,Medical Center,Shopping Plaza
42,Chikkadpally,Indian Restaurant,Movie Theater,Restaurant,Bakery,Diner,Retail,Chinese Restaurant,South Indian Restaurant,Café,Juice Bar,Hotel,Breakfast Spot,Burger Joint,Food Truck,Science Museum
43,Chilkalguda,Restaurant,Bakery,Movie Theater,Indian Restaurant,Coffee Shop,Deli,Café,Asian Restaurant,BBQ Joint,Hotel,Burger Joint,"Cafe, Coffee, and Tea House",Fast Food Restaurant,Retail,Public Transportation
44,Chintal Basti,Pizzeria,Restaurant,Indian Restaurant,Bakery,Café,Burger Joint,Fast Food Restaurant,"Cafe, Coffee, and Tea House",Movie Theater,Deli,Chinese Restaurant,Ice Cream Parlor,Stadium,Hotel,Dessert Shop
45,Chintalakunta,Movie Theater,Indian Restaurant,Restaurant,Pizzeria,Bakery,Shopping Mall,Ice Cream Parlor,Coffee Shop,Asian Restaurant,Park,Clothing Store,Concert Hall,Deli,Zoo,Drive-in Theater
46,Dammaiguda,Pizzeria,Café,Indian Restaurant,Miscellaneous Store,Bakery,Hospital,Burger Joint,Fast Food Restaurant,Retail,Restaurant,Medical Center,"Cafe, Coffee, and Tea House",Car Dealership,Clothing Store,Residential Building
47,Dilsukhnagar,Pizzeria,Indian Restaurant,Movie Theater,Restaurant,Bakery,"Cafe, Coffee, and Tea House",Juice Bar,Café,Fast Food Restaurant,South Indian Restaurant,Deli,Coffee Shop,Retail,Chaat Place,Diner
48,Domalguda,Indian Restaurant,Movie Theater,Restaurant,Bakery,Burger Joint,Retail,South Indian Restaurant,Café,Juice Bar,Chinese Restaurant,Ice Cream Parlor,Spiritual Center,Chaat Place,Science Museum,Donut Shop
49,ECIL 'X' Roads,Movie Theater,Indian Restaurant,Pizzeria,Park,Coffee Shop,Burger Joint,Café,Shopping Mall,Restaurant,Concert Hall,Housing Development,Deli,Zoo,Bowling Alley,Fast Food Restaurant
50,Erragadda,Indian Restaurant,Bar,Ice Cream Parlor,Restaurant,Bakery,BBQ Joint,Retail,Deli,Diner,Brewery,Bowling Alley,Breakfast Spot,Park,Cocktail Bar,Chinese Restaurant
51,Fateh Nagar,Indian Restaurant,Restaurant,Bakery,Bar,Movie Theater,Retail,Chinese Restaurant,Deli,Ice Cream Parlor,Fast Food Restaurant,Hotel Bar,Shopping Mall,Pub,Coffee Shop,Breakfast Spot
52,Ferozguda,Indian Restaurant,Bakery,Ice Cream Parlor,Bar,Café,Restaurant,BBQ Joint,Retail,Movie Theater,Park,Brewery,Breakfast Spot,Diner,Cocktail Bar,Bistro
53,Film Nagar,Indian Restaurant,Bar,Restaurant,Café,Bakery,Dessert Shop,Historic and Protected Site,Deli,Coffee Shop,Ice Cream Parlor,Lounge,Sports and Recreation,Retail,"Cafe, Coffee, and Tea House",Fast Food Restaurant
54,Gachibowli,Restaurant,Indian Restaurant,Bakery,Asian Restaurant,Bar,South Indian Restaurant,Coffee Shop,Chinese Restaurant,Vegan and Vegetarian Restaurant,Ice Cream Parlor,Italian Restaurant,"Cafe, Coffee, and Tea House",Café,Gastropub,Shopping Mall
55,Gaddiannaram,Pizzeria,Restaurant,Indian Restaurant,Movie Theater,Bakery,Juice Bar,Fast Food Restaurant,Deli,Coffee Shop,Café,"Cafe, Coffee, and Tea House",South Indian Restaurant,History Museum,French Restaurant,Bowling Alley
56,Gandhi Nagar,Indian Restaurant,Bakery,Restaurant,Ice Cream Parlor,BBQ Joint,Bar,Movie Theater,Hotel,Chinese Restaurant,Diner,Shopping Mall,Retail,Cocktail Bar,Breakfast Spot,Coffee Shop
57,Gandipet,Indian Restaurant,Restaurant,Café,Bar,Dessert Shop,Historic and Protected Site,Ice Cream Parlor,Movie Theater,Bakery,Coffee Shop,"Cafe, Coffee, and Tea House",Shopping Mall,Zoo,Deli,Park
58,Gautham Nagar,Restaurant,Burger Joint,Pizzeria,Bakery,Fast Food Restaurant,Café,BBQ Joint,Movie Theater,Indian Restaurant,"Cafe, Coffee, and Tea House",Chinese Restaurant,Coffee Shop,Italian Restaurant,Snack Place,Public Transportation
59,Ghatkesar,Retail,Food Court,Coffee Shop,Other Great Outdoors,Office Building,Sports and Recreation,Juice Bar,Indian Restaurant,Shopping Mall,Café,Sandwich Spot,Restaurant,Car Parts and Accessories,Bookstore,Chinese Restaurant
60,Golnaka,Indian Restaurant,Restaurant,Movie Theater,Bakery,Ice Cream Parlor,Diner,Café,Juice Bar,Retail,Chinese Restaurant,Museum,Breakfast Spot,Deli,Chaat Place,Department Store
61,Gudimalkapur,Indian Restaurant,Restaurant,Café,Bakery,South Indian Restaurant,Historic and Protected Site,Hotel,Shopping Mall,Deli,History Museum,Park,Diner,Bistro,Movie Theater,Monument
62,HITEC City,Indian Restaurant,Restaurant,Café,Bar,Ice Cream Parlor,Arts and Entertainment,Asian Restaurant,Italian Restaurant,"Cafe, Coffee, and Tea House",BBQ Joint,Bakery,Gastropub,Brewery,Movie Theater,Fast Food Restaurant
63,Habsiguda,Movie Theater,Restaurant,Pizzeria,Indian Restaurant,Bakery,Café,"Cafe, Coffee, and Tea House",Burger Joint,Deli,Ice Cream Parlor,Asian Restaurant,Sports and Recreation,Hotel,Dessert Shop,Chinese Restaurant
64,Hafeezpet,Pizzeria,Restaurant,Bakery,Movie Theater,Indian Restaurant,Coffee Shop,Café,Clothing Store,Bar,Night Club,BBQ Joint,Department Store,Snack Place,Food Court,Retail
65,Hasmathpet,Restaurant,Bakery,Indian Restaurant,Sports and Recreation,Italian Restaurant,Pizzeria,BBQ Joint,Pub,Chinese Restaurant,Hotel,Deli,Public Transportation,Coffee Shop,Café,Dining and Drinking
66,Hastinapuram,Movie Theater,Ice Cream Parlor,Indian Restaurant,Pizzeria,Shopping Mall,Restaurant,Park,Asian Restaurant,Coffee Shop,Bakery,Electronics Store,Bowling Alley,Breakfast Spot,Concert Hall,Burger Joint
67,Hayathnagar,Indian Restaurant,Movie Theater,Restaurant,Bakery,South Indian Restaurant,Burger Joint,Retail,Ice Cream Parlor,Chinese Restaurant,Café,Juice Bar,French Restaurant,Dessert Shop,Food Truck,Science Museum
68,Himayatnagar,Indian Restaurant,Movie Theater,Restaurant,Bakery,Café,South Indian Restaurant,Retail,Juice Bar,Burger Joint,Chinese Restaurant,Ice Cream Parlor,Lounge,Chaat Place,Hotel,Science Museum
69,Hyderguda,Bakery,Restaurant,Indian Restaurant,Café,Movie Theater,Coffee Shop,South Indian Restaurant,Historic and Protected Site,Juice Bar,Food Truck,Monument,Bistro,Diner,Dessert Shop,Deli
70,IDA Bollaram,Pizzeria,Indian Restaurant,Bakery,Movie Theater,Sports and Recreation,Coffee Shop,Clothing Store,Fast Food Restaurant,Retail,Burger Joint,Southern Food Restaurant,Grocery Store,Cosmetics Store,Breakfast Spot,Electronics Store
71,Ibrahim patnam,Movie Theater,Indian Restaurant,Pizzeria,Ice Cream Parlor,Shopping Mall,Bakery,Coffee Shop,Asian Restaurant,Restaurant,Park,Maternity Clinic,Food and Beverage Retail,Electronics Store,Clothing Store,Fast Food Restaurant
72,Jagadgirigutta,Bakery,Indian Restaurant,Restaurant,Deli,Pizzeria,Movie Theater,Night Club,BBQ Joint,Sports and Recreation,Gastropub,Clothing Store,Dumpling Restaurant,Breakfast Spot,Cocktail Bar,Coffee Shop
73,Jamia Osmania,Indian Restaurant,Restaurant,Movie Theater,Juice Bar,Chinese Restaurant,Café,Burger Joint,Hotel,Deli,Bakery,Landmarks and Outdoors,Lounge,Spiritual Center,South Indian Restaurant,Breakfast Spot
74,Jawaharnagar,Indian Restaurant,Bar,Restaurant,Bakery,Ice Cream Parlor,Deli,Fast Food Restaurant,Park,Breakfast Spot,Bookstore,Bowling Alley,Café,Lounge,Pub,Coffee Shop
75,Jeedimetla,Restaurant,Pizzeria,Burger Joint,BBQ Joint,Café,Sports and Recreation,Italian Restaurant,Fast Food Restaurant,Movie Theater,Asian Restaurant,Deli,Bakery,Wine Bar,Coffee Shop,Resort
76,Jillelguda,Movie Theater,Pizzeria,Indian Restaurant,Temple,Park,Asian Restaurant,Hospital,Ice Cream Parlor,Shopping Mall,Coffee Shop,Restaurant,Bowling Alley,Electronics Store,Retail,Burger Joint
77,Jubilee Hills,Indian Restaurant,Bar,Restaurant,Bakery,Deli,Ice Cream Parlor,Café,Arts and Entertainment,BBQ Joint,Hotel,Bowling Alley,Brewery,Snack Place,"Cafe, Coffee, and Tea House",Retail
78,KPHB,Restaurant,Bakery,Indian Restaurant,Movie Theater,BBQ Joint,Night Club,Pizzeria,Gastropub,Retail,Food Court,Fast Food Restaurant,"Cafe, Coffee, and Tea House",Shopping Mall,Snack Place,Cocktail Bar
79,Kachiguda,Indian Restaurant,Restaurant,South Indian Restaurant,Movie Theater,Bakery,Diner,History Museum,Retail,Chinese Restaurant,Ice Cream Parlor,Café,Juice Bar,French Restaurant,Breakfast Spot,Burger Joint
80,Kakatiya Nagar,Pizzeria,Office Building,Bakery,Movie Theater,Other Great Outdoors,Retail,Indian Restaurant,Breakfast Spot,Bar,Police Station,Temple,Burger Joint,Garden,Lounge,Post Office
81,Kamala Nagar,Pizzeria,Indian Restaurant,Movie Theater,Restaurant,Retail,Café,Fast Food Restaurant,Deli,Hyderabadi Restaurant,Department Store,Chaat Place,Coffee Shop,History Museum,Diner,Hotel Bar
82,Kandlakoya,Retail,Indian Restaurant,Restaurant,Bakery,Drugstore,Other Great Outdoors,Fast Food Restaurant,Movie Theater,Temple,Snack Place,South Indian Restaurant,Lounge,Healthcare Clinic,Farm,Sports Bar
83,Kapra,Restaurant,Bakery,Indian Restaurant,Movie Theater,Pizzeria,BBQ Joint,Night Club,Sports Bar,Gastropub,South Indian Restaurant,Coffee Shop,Cocktail Bar,Snack Place,Shopping Mall,Clothing Store
84,Karkhana,Restaurant,Indian Restaurant,Bakery,Movie Theater,Chinese Restaurant,Coffee Shop,Pub,BBQ Joint,Burger Joint,Juice Bar,Pizzeria,Lounge,Hookah Bar,Dining and Drinking,Deli
85,Karmanghat,Pizzeria,Movie Theater,Restaurant,Indian Restaurant,Coffee Shop,South Indian Restaurant,Ice Cream Parlor,Fast Food Restaurant,Temple,Housing Development,Burger Joint,Shopping Mall,Café,Retail,Electronics Store
86,Kavadiguda,Restaurant,Indian Restaurant,Movie Theater,Chinese Restaurant,Bakery,Café,Burger Joint,Coffee Shop,Public Transportation,Spiritual Center,Retail,Pub,Pizzeria,"Cafe, Coffee, and Tea House",Dining and Drinking
87,Keesara,Café,Temple,Indian Restaurant,Night Club,Arts and Entertainment,Golf Course,Bakery,Asian Restaurant,Restaurant,Park,Other Great Outdoors,Ice Cream Parlor,Farm,Military Base,Dentist
88,Khairtabad,Indian Restaurant,Movie Theater,Restaurant,Coffee Shop,Fast Food Restaurant,"Cafe, Coffee, and Tea House",Café,Deli,Bar,Retail,Shopping Mall,Science Museum,Chinese Restaurant,Hotel Bar,Bookstore
89,Khajaguda,Restaurant,Indian Restaurant,Bar,Coffee Shop,Bakery,BBQ Joint,Café,Asian Restaurant,Italian Restaurant,Vegan and Vegetarian Restaurant,Ice Cream Parlor,Cocktail Bar,Golf Course,Food Truck,"Cafe, Coffee, and Tea House"
90,Kismatpur,Pizzeria,Burger Joint,Café,Sports and Recreation,Deli,Restaurant,Historic and Protected Site,Shopping Mall,Breakfast Spot,Movie Theater,Tea Room,Grocery Store,Club House,Mosque,Church
91,Kistareddypet,Indian Restaurant,Government Building,Department Store,Movie Theater,Bakery,Restaurant,Retail,Indie Movie Theater,Fast Food Restaurant,Stadium,Sports and Recreation,Breakfast Spot,Sporting Goods Retail,Snack Place,Convenience Store
92,Kokapet,Indian Restaurant,Bakery,Movie Theater,Juice Bar,Restaurant,South Indian Restaurant,Burger Joint,Chinese Restaurant,Ice Cream Parlor,Café,Diner,Retail,"Cafe, Coffee, and Tea House",Lounge,Dessert Shop
93,Kompally,Pizzeria,Restaurant,Fast Food Restaurant,Movie Theater,Church,South Indian Restaurant,Bakery,Indie Movie Theater,Burger Joint,Office Building,Retail,Hospital,Resort,Sports and Recreation,Pub
94,Kondapur,Restaurant,Coffee Shop,Indian Restaurant,Bakery,Retail,BBQ Joint,Vegan and Vegetarian Restaurant,Night Club,Bar,Asian Restaurant,South Indian Restaurant,Clothing Store,Garden,"Cafe, Coffee, and Tea House",Snack Place
95,Kothapet,Indian Restaurant,Pizzeria,Movie Theater,Restaurant,Deli,Fast Food Restaurant,Café,Retail,Burger Joint,Laboratory,Chaat Place,Motorcycle Dealership,Coffee Shop,Department Store,French Restaurant
96,Koti,Indian Restaurant,Restaurant,Bakery,South Indian Restaurant,History Museum,Diner,Ice Cream Parlor,Café,Retail,Chinese Restaurant,Juice Bar,Hotel,Breakfast Spot,Science Museum,Lounge
97,Kukatpally,Restaurant,Indian Restaurant,Bakery,BBQ Joint,Café,Ice Cream Parlor,Movie Theater,Chinese Restaurant,Cocktail Bar,Coffee Shop,Shopping Mall,Bistro,"Cafe, Coffee, and Tea House",Snack Place,Retail
98,Kushaiguda,Café,Indian Restaurant,Pizzeria,Bakery,Housing Development,Men's Store,Fast Food Restaurant,Miscellaneous Store,Electronics Store,Retail,Burger Joint,Hospital,Automotive Retail,Snack Place,Medical Center
99,L. B. Nagar,Pizzeria,Fast Food Restaurant,Indian Restaurant,Coffee Shop,Restaurant,Movie Theater,Hotel,Bakery,Burger Joint,Deli,Dining and Drinking,Department Store,Indie Movie Theater,Clothing Store,Shopping Mall
100,Lakdikapool,Indian Restaurant,Bakery,Movie Theater,Café,Juice Bar,South Indian Restaurant,"Cafe, Coffee, and Tea House",Restaurant,Chinese Restaurant,Hotel,Shopping Mall,Landmarks and Outdoors,Science Museum,Food Truck,Chaat Place
101,Langar Houz,Indian Restaurant,Café,Restaurant,Bar,Bakery,Shopping Mall,Historic and Protected Site,BBQ Joint,Hookah Bar,Lounge,"Cafe, Coffee, and Tea House",Retail,Fast Food Restaurant,Bistro,Coffee Shop
102,Laxminagar Colony,Indian Restaurant,Pizzeria,Movie Theater,Restaurant,Deli,Fast Food Restaurant,Café,Retail,Burger Joint,Laboratory,Chaat Place,Motorcycle Dealership,Coffee Shop,Department Store,French Restaurant
103,Lingojiguda,Indian Restaurant,Bakery,Movie Theater,Juice Bar,Restaurant,South Indian Restaurant,Burger Joint,Chinese Restaurant,Ice Cream Parlor,Café,Diner,Retail,"Cafe, Coffee, and Tea House",Lounge,Dessert Shop
