,Area,1st most common venue,2nd most common venue,3rd most common venue,4th most common venue,5th most common venue,6th most common venue,7th most common venue,8th most common venue,9th most common venue,10th most common venue,11th most common venue,12th most common venue,13th most common venue,14th most common venue,15th most common venue
104,Lothkunta,Restaurant,Café,Bakery,Burger Joint,Pizzeria,"Cafe, Coffee, and Tea House",Hotel,Fast Food Restaurant,Ice Cream Parlor,Indian Restaurant,Deli,BBQ Joint,Pub,Coffee Shop,Dessert Shop
105,MG Road (James Street),Restaurant,Indian Restaurant,Movie Theater,"Cafe, Coffee, and Tea House",Café,Chinese Restaurant,Hotel Bar,Coffee Shop,French Restaurant,Retail,Clothing Store,Fast Food Restaurant,Public Transportation,Spiritual Center,Pub
106,Macha Bollaram,Pizzeria,Indian Restaurant,Bakery,Movie Theater,Coffee Shop,Clothing Store,Furniture and Home Store,Fast Food Restaurant,Bar,Cosmetics Store,Burger Joint,Shopping Mall,Café,Retail,Residential Building
107,Madannapet,Restaurant,Pizzeria,Indian Restaurant,Movie Theater,South Indian Restaurant,Diner,Café,History Museum,Retail,Coffee Shop,Bakery,Juice Bar,Fast Food Restaurant,Department Store,Food Truck
108,Madhapur,Restaurant,Indian Restaurant,Café,Bar,Italian Restaurant,Movie Theater,BBQ Joint,Asian Restaurant,Shopping Mall,Cocktail Bar,Snack Place,South Indian Restaurant,"Cafe, Coffee, and Tea House",Food Court,Sports Bar
109,Madinaguda,Pizzeria,Restaurant,Indian Restaurant,Bakery,Café,Coffee Shop,Movie Theater,BBQ Joint,Night Club,Bar,Dumpling Restaurant,Clothing Store,Retail,Garden,Fast Food Restaurant
110,Malkajgiri,Restaurant,Bakery,Pizzeria,Fast Food Restaurant,Café,Indian Restaurant,Burger Joint,Movie Theater,BBQ Joint,Chinese Restaurant,"Cafe, Coffee, and Tea House",Deli,Coffee Shop,Public Transportation,Snack Place
111,Mallampet,Pizzeria,Indian Restaurant,Bakery,Movie Theater,Cosmetics Store,Deli,Housing Development,Fast Food Restaurant,Breakfast Spot,Education,Coffee Shop,Burger Joint,Residential Building,Butcher,Café
112,Mallapur,Pizzeria,Retail,Bakery,Movie Theater,Café,Indian Restaurant,Burger Joint,Garden,Clothing Store,Bicycle Store,Restaurant,Lounge,Snack Place,Bridge,Deli
113,Mallepally,Indian Restaurant,Bakery,Movie Theater,Café,Juice Bar,"Cafe, Coffee, and Tea House",South Indian Restaurant,Restaurant,Chinese Restaurant,Hotel,Diner,Tobacco Store,Bistro,Chaat Place,Retail
114,Manikonda,Indian Restaurant,Restaurant,Bar,Dessert Shop,BBQ Joint,Café,Ice Cream Parlor,Deli,Arts and Entertainment,Coffee Shop,Bakery,Historic and Protected Site,Bistro,"Cafe, Coffee, and Tea House",Cocktail Bar
115,Marredpally,Restaurant,Indian Restaurant,Movie Theater,Coffee Shop,Bakery,Café,BBQ Joint,Italian Restaurant,Pub,Asian Restaurant,Chinese Restaurant,Retail,Fast Food Restaurant,Hookah Bar,Clothing Store
116,Masab Tank,Indian Restaurant,Restaurant,Bakery,Movie Theater,Café,Asian Restaurant,Coffee Shop,Bookstore,Hotel,Bar,Park,Bistro,Pub,Retail,Science Museum
117,Medchal,Restaurant,Pizzeria,Burger Joint,BBQ Joint,Fast Food Restaurant,Café,Deli,Bakery,Movie Theater,Sports and Recreation,Italian Restaurant,Clothing Store,Resort,Coffee Shop,Public Transportation
118,"Medical Devices Park, Hyderabad",Indian Restaurant,Movie Theater,Restaurant,Bakery,South Indian Restaurant,Burger Joint,Retail,Ice Cream Parlor,Chinese Restaurant,Café,Juice Bar,French Restaurant,Dessert Shop,Food Truck,Science Museum
119,Medipally,Pizzeria,Bakery,Movie Theater,Indian Restaurant,Office Building,Breakfast Spot,Café,Other Great Outdoors,Burger Joint,Lounge,Food Court,Post Office,Sports and Recreation,Sandwich Spot,Retail
120,Meerpet,Pizzeria,Restaurant,Movie Theater,Ice Cream Parlor,Coffee Shop,Indian Restaurant,Asian Restaurant,Burger Joint,Housing Development,Bowling Alley,Breakfast Spot,Maternity Clinic,South Indian Restaurant,Hyderabadi Restaurant,Electronics Store
121,Mehdipatnam,Indian Restaurant,Café,Restaurant,Bakery,Shopping Mall,BBQ Joint,Asian Restaurant,Hotel,Historic and Protected Site,Ice Cream Parlor,Food Truck,"Cafe, Coffee, and Tea House",Dessert Shop,South Indian Restaurant,Movie Theater
122,Minister Road,Restaurant,Indian Restaurant,Movie Theater,Chinese Restaurant,Fast Food Restaurant,Café,Bakery,Burger Joint,Landmarks and Outdoors,Spiritual Center,Public Transportation,Diner,Pub,Pizzeria,"Cafe, Coffee, and Tea House"
123,Miyapur,Pizzeria,Movie Theater,Retail,Café,Indian Restaurant,Bakery,Garden,Clothing Store,Burger Joint,Breakfast Spot,Lounge,Bridge,Snack Place,Food Truck,Bicycle Store
124,Moosapet,Indian Restaurant,Bakery,Restaurant,Ice Cream Parlor,Bar,Café,BBQ Joint,Hotel,Gastropub,Bowling Alley,Breakfast Spot,Brewery,Sports and Recreation,Movie Theater,Bistro
125,Moosarambagh,Pizzeria,Indian Restaurant,Movie Theater,Restaurant,Bakery,Ice Cream Parlor,Juice Bar,Deli,Coffee Shop,Café,"Cafe, Coffee, and Tea House",South Indian Restaurant,History Museum,French Restaurant,Bowling Alley
126,Moti Nagar,Indian Restaurant,Ice Cream Parlor,Bar,Bakery,BBQ Joint,Café,Restaurant,Retail,Deli,Pub,Snack Place,"Cafe, Coffee, and Tea House",Chinese Restaurant,Coffee Shop,Cocktail Bar
127,Moula-Ali,Café,Pizzeria,Indian Restaurant,Chinese Restaurant,Burger Joint,Bakery,Hospital,Retail,Movie Theater,Ice Cream Parlor,Fast Food Restaurant,Clothing Store,Snack Place,Playground,Bridal Store
128,Musheerabad,Indian Restaurant,Restaurant,Movie Theater,Chinese Restaurant,Café,Juice Bar,Bakery,Burger Joint,Hotel,Public Transportation,"Cafe, Coffee, and Tea House",Lounge,French Restaurant,Breakfast Spot,South Indian Restaurant
129,Mylargadda,Indian Restaurant,Restaurant,Movie Theater,Bakery,Coffee Shop,Deli,Café,Ice Cream Parlor,Asian Restaurant,Chinese Restaurant,"Cafe, Coffee, and Tea House",Retail,Hotel,Fast Food Restaurant,Public Transportation
130,Nacharam,Movie Theater,Pizzeria,Indian Restaurant,Restaurant,Café,Deli,Bakery,Coffee Shop,Clothing Store,Chinese Restaurant,Burger Joint,French Restaurant,Retail,"Cafe, Coffee, and Tea House",Snack Place
131,Nagaram,Indian Restaurant,Bakery,Movie Theater,Juice Bar,Restaurant,South Indian Restaurant,Burger Joint,Chinese Restaurant,Ice Cream Parlor,Café,Diner,Retail,"Cafe, Coffee, and Tea House",Lounge,Dessert Shop
132,Nagole,Movie Theater,Pizzeria,Indian Restaurant,Deli,Café,Ice Cream Parlor,Restaurant,Bicycle Store,Temple,Burger Joint,Concert Hall,Cricket Ground,Coffee Shop,Breakfast Spot,Bowling Alley
133,Nallakunta,Restaurant,Indian Restaurant,Movie Theater,Bakery,Diner,Café,Chinese Restaurant,Juice Bar,Retail,Ice Cream Parlor,Coffee Shop,Hotel,Breakfast Spot,Deli,Department Store
134,Namalagundu,Restaurant,Indian Restaurant,Movie Theater,Bakery,Coffee Shop,Burger Joint,Deli,Ice Cream Parlor,Café,"Cafe, Coffee, and Tea House",Retail,Hotel,Chinese Restaurant,Public Transportation,Spiritual Center
135,Nampally,Indian Restaurant,Bakery,South Indian Restaurant,Restaurant,Juice Bar,Café,Retail,Chinese Restaurant,Diner,Ice Cream Parlor,Monument,Movie Theater,Museum,Breakfast Spot,Dessert Shop
136,Nanakramguda,Restaurant,Indian Restaurant,Pizzeria,Deli,Ice Cream Parlor,Coffee Shop,Vegan and Vegetarian Restaurant,Bar,Bakery,South Indian Restaurant,Shopping Mall,Food and Beverage Retail,Food Truck,Hotel Bar,Chinese Restaurant
137,Narapally,Indian Restaurant,Pizzeria,Coffee Shop,Retail,Office Building,Juice Bar,Housing Development,Sports and Recreation,Food Court,Other Great Outdoors,Grocery Store,Bakery,Community and Government,Burger Joint,Comfort Food Restaurant
138,Narsingi,Restaurant,Indian Restaurant,Bakery,Coffee Shop,Bar,BBQ Joint,Ice Cream Parlor,Vegan and Vegetarian Restaurant,Historic and Protected Site,Sports and Recreation,Hotel Bar,Lounge,South Indian Restaurant,Shopping Mall,"Cafe, Coffee, and Tea House"
139,Neredmet,Restaurant,Burger Joint,Pizzeria,Bakery,Café,Asian Restaurant,Fast Food Restaurant,BBQ Joint,"Cafe, Coffee, and Tea House",Indian Restaurant,Vegan and Vegetarian Restaurant,Deli,Pub,Coffee Shop,Public Transportation
140,Nizampet,Bakery,Pizzeria,Burger Joint,Movie Theater,Indian Restaurant,Fast Food Restaurant,Coffee Shop,Housing Development,Deli,Café,Drugstore,Shopping Mall,Hookah Bar,Restaurant,Retail
141,Old Alwal,Restaurant,Pizzeria,Burger Joint,Bakery,Movie Theater,Sports and Recreation,Café,BBQ Joint,Deli,Fast Food Restaurant,Italian Restaurant,Diner,Park,Bowling Alley,Furniture and Home Store
142,Old Bowenpally,Restaurant,Burger Joint,Pizzeria,Deli,Bakery,Fast Food Restaurant,Hotel,Coffee Shop,Indian Restaurant,Café,Chinese Restaurant,Italian Restaurant,BBQ Joint,Sports and Recreation,Asian Restaurant
143,Old Neredmet,Café,Indian Restaurant,Pizzeria,Burger Joint,Fast Food Restaurant,Bakery,Restaurant,Ice Cream Parlor,BBQ Joint,Dessert Shop,Electronics Store,Movie Theater,Bowling Alley,Sports and Recreation,"Cafe, Coffee, and Tea House"
144,Padmanabha Nagar Colony,Indian Restaurant,Café,Bakery,Restaurant,Bar,Shopping Mall,Hotel,Hookah Bar,BBQ Joint,Historic and Protected Site,"Cafe, Coffee, and Tea House",Coffee Shop,Juice Bar,Movie Theater,Sports and Recreation
145,Padmarao Nagar,Restaurant,Indian Restaurant,Bakery,Movie Theater,Coffee Shop,Deli,Burger Joint,Ice Cream Parlor,Asian Restaurant,Café,Breakfast Spot,"Cafe, Coffee, and Tea House",Retail,Hotel,Chinese Restaurant
146,Pan bazar,Restaurant,Indian Restaurant,Movie Theater,"Cafe, Coffee, and Tea House",Café,Chinese Restaurant,Bakery,Hotel Bar,Fast Food Restaurant,French Restaurant,Retail,Clothing Store,Public Transportation,Coffee Shop,Spiritual Center
147,Parsigutta,Indian Restaurant,Restaurant,Chinese Restaurant,Movie Theater,Bakery,Café,Burger Joint,Landmarks and Outdoors,Lounge,French Restaurant,Pub,Coffee Shop,Sports and Recreation,"Cafe, Coffee, and Tea House",Public Transportation
148,Patancheru,Retail,Indian Restaurant,Movie Theater,Snack Place,Government Building,Restaurant,Spiritual Center,Sports and Recreation,Men's Store,Café,Post Office,Diner,Polish Restaurant,Education,Convenience Store
149,Patny,Indian Restaurant,Restaurant,Café,Bar,Italian Restaurant,Asian Restaurant,BBQ Joint,Snack Place,Gastropub,Lounge,Movie Theater,South Indian Restaurant,Shopping Mall,Sports and Recreation,"Cafe, Coffee, and Tea House"
150,Peerzadiguda,Indian Restaurant,Pizzeria,Café,Movie Theater,Deli,Clothing Store,Burger Joint,Retail,Bakery,Cosmetics Store,Breakfast Spot,Lounge,Restaurant,Food Court,Chinese Restaurant
151,Pet Basheerabad,Restaurant,Pizzeria,Asian Restaurant,Burger Joint,BBQ Joint,Deli,Sports and Recreation,Café,Italian Restaurant,Fast Food Restaurant,Movie Theater,Bakery,Coffee Shop,Resort,Clothing Store
152,Pocharam,Retail,Coffee Shop,Food Court,Healthcare Clinic,Indian Restaurant,Office Building,Sports and Recreation,Juice Bar,Other Great Outdoors,Hardware Store,Medical Center,Dining and Drinking,Community and Government,Movie Theater,Hindu Temple
153,Pragathi Nagar,Indian Restaurant,Bakery,Restaurant,Ice Cream Parlor,Café,Bar,BBQ Joint,Movie Theater,Snack Place,Breakfast Spot,Bistro,Pub,South Indian Restaurant,Brewery,Chinese Restaurant
154,Prakash Nagar,Restaurant,Indian Restaurant,Movie Theater,Chinese Restaurant,Asian Restaurant,Bar,Fast Food Restaurant,"Cafe, Coffee, and Tea House",Café,Retail,Shopping Mall,Burger Joint,Public Transportation,Pub,Bookstore
155,Punjagutta,Indian Restaurant,Bakery,Movie Theater,Restaurant,Bookstore,Chinese Restaurant,Retail,Bar,Coffee Shop,"Cafe, Coffee, and Tea House",Asian Restaurant,Deli,Pub,Hotel Bar,Fast Food Restaurant
156,Puppalguda,Restaurant,Indian Restaurant,Bakery,Bar,BBQ Joint,Coffee Shop,Vegan and Vegetarian Restaurant,Historic and Protected Site,Ice Cream Parlor,Afghan Restaurant,Lounge,South Indian Restaurant,Snack Place,"Cafe, Coffee, and Tea House",Hotel Bar
157,Quthbullapur,Restaurant,Indian Restaurant,Pizzeria,Burger Joint,Deli,BBQ Joint,Italian Restaurant,Fast Food Restaurant,Clothing Store,Bakery,Sports and Recreation,Diner,Chinese Restaurant,"Cafe, Coffee, and Tea House",Public Transportation
158,RC Puram,Movie Theater,Indian Restaurant,Pizzeria,Café,Restaurant,Temple,Retail,Coffee Shop,Deli,Burger Joint,Fast Food Restaurant,Ice Cream Parlor,Motorcycle Dealership,Bowling Alley,Department Store
159,RP Road,Restaurant,Indian Restaurant,Bakery,BBQ Joint,Movie Theater,Ice Cream Parlor,Pizzeria,Café,"Cafe, Coffee, and Tea House",Clothing Store,Sports and Recreation,Snack Place,Coffee Shop,Food Court,Retail
160,RTC X Roads,Indian Restaurant,Restaurant,Movie Theater,Ice Cream Parlor,Retail,Chinese Restaurant,Juice Bar,Café,Bakery,Hotel,Science Museum,Gaming Cafe,Burger Joint,French Restaurant,"Cafe, Coffee, and Tea House"
161,Raidurg,Indian Restaurant,Restaurant,Bakery,Café,Bar,Ice Cream Parlor,Coffee Shop,Arts and Entertainment,Deli,BBQ Joint,Sports Bar,Bowling Alley,Gastropub,Brewery,Snack Place
162,Raj Bhavan Road,Indian Restaurant,Movie Theater,Restaurant,Bakery,Asian Restaurant,Bookstore,Coffee Shop,Deli,Pub,"Cafe, Coffee, and Tea House",Café,Science Museum,Retail,Spiritual Center,Fast Food Restaurant
163,Rajendranagar,Grocery Store,Restaurant,Burger Joint,Shopping Mall,Department Store,Deli,Pizzeria,Movie Theater,Café,Farmers Market,Lake,Sports and Recreation,Retail,Chinese Restaurant,Club House
164,Rajiv Gandhi International Airport,Indian Restaurant,Coffee Shop,Café,Retail,Bakery,"Cafe, Coffee, and Tea House",Bar,South Indian Restaurant,Restaurant,Cosmetics Store,Burger Joint,Burrito Restaurant,Office Supply Store,Chinese Restaurant,Food Court
165,Ramanthapur,Indian Restaurant,Bakery,Restaurant,South Indian Restaurant,Juice Bar,Café,Diner,Movie Theater,Ice Cream Parlor,Shopping Mall,Monument,Food Truck,Retail,Chaat Place,Science Museum
166,Ramnagar,Indian Restaurant,Restaurant,Movie Theater,Chinese Restaurant,Hotel,Juice Bar,Café,Bakery,Burger Joint,Gaming Cafe,Lounge,Breakfast Spot,South Indian Restaurant,French Restaurant,Landmarks and Outdoors
167,Rampally,Indian Restaurant,Bakery,South Indian Restaurant,Restaurant,Juice Bar,Café,Retail,Chinese Restaurant,Diner,Ice Cream Parlor,Monument,Movie Theater,Museum,Breakfast Spot,Dessert Shop
168,Rani Gunj,Indian Restaurant,Restaurant,Movie Theater,Bakery,Café,Chinese Restaurant,Hotel,Clothing Store,Burger Joint,"Cafe, Coffee, and Tea House",Retail,Fast Food Restaurant,Public Transportation,Lounge,Coffee Shop
169,Red Hills,Indian Restaurant,Bakery,Juice Bar,Movie Theater,Café,South Indian Restaurant,"Cafe, Coffee, and Tea House",Restaurant,Chinese Restaurant,Hotel,Shopping Mall,Landmarks and Outdoors,Science Museum,Food Truck,Chaat Place
170,SR Nagar,Indian Restaurant,Bar,Restaurant,Bakery,Chinese Restaurant,Deli,Retail,Movie Theater,Ice Cream Parlor,Fast Food Restaurant,Diner,Coffee Shop,"Cafe, Coffee, and Tea House",Breakfast Spot,Pub
171,Safilguda,Burger Joint,Pizzeria,Bakery,Restaurant,Fast Food Restaurant,Café,Indian Restaurant,Chinese Restaurant,"Cafe, Coffee, and Tea House",Ice Cream Parlor,Movie Theater,BBQ Joint,Dessert Shop,Snack Place,Public Transportation
172,Saifabad,Indian Restaurant,Bakery,Movie Theater,Café,Hotel,Retail,Chinese Restaurant,"Cafe, Coffee, and Tea House",Lounge,Breakfast Spot,Spiritual Center,Diner,South Indian Restaurant,Food Truck,Bistro
173,Sainikpuri,Restaurant,Burger Joint,Pizzeria,Bakery,Café,Asian Restaurant,Fast Food Restaurant,BBQ Joint,"Cafe, Coffee, and Tea House",Indian Restaurant,Vegan and Vegetarian Restaurant,Deli,Pub,Coffee Shop,Public Transportation
174,Sanathnagar,Indian Restaurant,Restaurant,Bar,Bakery,Ice Cream Parlor,Retail,Chinese Restaurant,Deli,Fast Food Restaurant,Hotel Bar,"Cafe, Coffee, and Tea House",Café,Shopping Mall,Movie Theater,Lounge
175,Sanghi Nagar,Indian Restaurant,Bar,Restaurant,Bakery,Chinese Restaurant,Deli,Retail,Movie Theater,Ice Cream Parlor,Fast Food Restaurant,Diner,Coffee Shop,"Cafe, Coffee, and Tea House",Breakfast Spot,Pub
176,Santoshnagar,Indian Restaurant,Café,Restaurant,Bakery,BBQ Joint,Asian Restaurant,Shopping Mall,Hotel,"Cafe, Coffee, and Tea House",Coffee Shop,Bistro,Pub,South Indian Restaurant,Movie Theater,Retail
177,Saroornagar,Indian Restaurant,Movie Theater,Pizzeria,Restaurant,Café,Temple,South Indian Restaurant,Ice Cream Parlor,Fast Food Restaurant,Coffee Shop,Deli,Chaat Place,History Museum,Concert Hall,Department Store
178,Secunderabad,Indian Restaurant,Movie Theater,Restaurant,Coffee Shop,Chinese Restaurant,Café,Pub,Bakery,BBQ Joint,Dining and Drinking,"Cafe, Coffee, and Tea House",Retail,Hookah Bar,Clothing Store,Landmarks and Outdoors
179,Secunderabad Cantonment,Indian Restaurant,Movie Theater,Restaurant,Coffee Shop,Chinese Restaurant,Café,Pub,Bakery,BBQ Joint,Dining and Drinking,"Cafe, Coffee, and Tea House",Retail,Hookah Bar,Clothing Store,Landmarks and Outdoors
180,Serilingampally,Pizzeria,Bakery,Restaurant,Coffee Shop,Stadium,Fast Food Restaurant,Café,Indian Restaurant,BBQ Joint,Bar,Vegan and Vegetarian Restaurant,Retail,Chinese Restaurant,Food Truck,Department Store
181,Shaikpet Hyderabad,Indian Restaurant,Bar,Restaurant,Bakery,BBQ Joint,Café,Arts and Entertainment,Deli,Coffee Shop,Ice Cream Parlor,Historic and Protected Site,Dessert Shop,Cocktail Bar,Bistro,"Cafe, Coffee, and Tea House"
182,Shamirpet,Café,Indian Restaurant,Movie Theater,Park,Bakery,Temple,Race Track,Sandwich Spot,Restaurant,Resort,Residential Building,Recreation Center,Church,Shopping Mall,Lake
183,Shamshabad,Restaurant,Burger Joint,Ice Cream Parlor,Office Building,Movie Theater,Mosque,Shopping Mall,South Indian Restaurant,Bakery,Diner,Arts and Entertainment,History Museum,Indian Restaurant,Monument,Vegan and Vegetarian Restaurant
184,Shanker Mutt,Indian Restaurant,Restaurant,Movie Theater,Bakery,Chinese Restaurant,Café,Hotel Bar,French Restaurant,Spiritual Center,Hotel,Pub,Burger Joint,Public Transportation,Dining and Drinking,Clothing Store
185,Shivam Road,Restaurant,Movie Theater,Indian Restaurant,Ice Cream Parlor,Bakery,Diner,Retail,Juice Bar,Café,Chinese Restaurant,Lounge,"Cafe, Coffee, and Tea House",Food Truck,Breakfast Spot,South Indian Restaurant
186,Sikh Village,Restaurant,Indian Restaurant,Pub,Chinese Restaurant,Bakery,BBQ Joint,Public Transportation,Café,Retail,Clothing Store,Coffee Shop,Hotel Bar,Lounge,Fast Food Restaurant,Deli
187,Sindhi Colony,Restaurant,Indian Restaurant,Movie Theater,Chinese Restaurant,Fast Food Restaurant,Bakery,Hotel Bar,Burger Joint,Sports and Recreation,Bookstore,Hotel,Donut Shop,Pub,Public Transportation,Pizzeria
188,Sitaphalmandi,Restaurant,Movie Theater,Indian Restaurant,Bakery,Deli,Ice Cream Parlor,Café,Coffee Shop,Hotel,Burger Joint,"Cafe, Coffee, and Tea House",Retail,Public Transportation,Chinese Restaurant,Fast Food Restaurant
189,Somajiguda,Indian Restaurant,Movie Theater,Restaurant,Pub,Asian Restaurant,Bookstore,Bakery,Coffee Shop,Retail,Deli,"Cafe, Coffee, and Tea House",Fast Food Restaurant,Bar,Bistro,Diner
190,Srinagar colony,Indian Restaurant,Restaurant,Bar,Bakery,Chinese Restaurant,Movie Theater,Coffee Shop,Fast Food Restaurant,Ice Cream Parlor,Café,Retail,Deli,"Cafe, Coffee, and Tea House",Pub,Breakfast Spot
191,Suraram,Restaurant,Pizzeria,Housing Development,Bakery,Fast Food Restaurant,Drugstore,Indian Restaurant,Movie Theater,Mobile Phone Store,Automotive Retail,Retail,Burger Joint,Optometrist,Furniture and Home Store,Food Truck
192,Tarnaka,Movie Theater,Restaurant,Bakery,Indian Restaurant,Pizzeria,Deli,Burger Joint,Grocery Store,Asian Restaurant,"Cafe, Coffee, and Tea House",Café,Stadium,Public Transportation,Coffee Shop,French Restaurant
193,Tilaknagar,Indian Restaurant,Movie Theater,Restaurant,Bakery,Diner,Café,Chinese Restaurant,Juice Bar,Retail,Ice Cream Parlor,Coffee Shop,Museum,Deli,Breakfast Spot,Department Store
194,Toli chowki,Indian Restaurant,Bar,Restaurant,Café,Bakery,Dessert Shop,Historic and Protected Site,Deli,Ice Cream Parlor,Sports and Recreation,Lounge,"Cafe, Coffee, and Tea House",Retail,Shopping Mall,Fast Food Restaurant
195,Trimulgherry,Pizzeria,Café,Burger Joint,Indian Restaurant,Bakery,Retail,Fast Food Restaurant,Chinese Restaurant,BBQ Joint,Ice Cream Parlor,Restaurant,Snack Place,"Cafe, Coffee, and Tea House",Hotel,Lake
196,Tukaramgate,Restaurant,Bakery,Asian Restaurant,Deli,Pizzeria,Movie Theater,Indian Restaurant,BBQ Joint,Coffee Shop,Burger Joint,Café,Retail,Hotel,Chinese Restaurant,Fast Food Restaurant
197,Umdanagar,Restaurant,Burger Joint,Office Building,Indian Restaurant,Café,Coffee Shop,Afghan Restaurant,Lake,Ice Cream Parlor,Race Track,Community and Government,Playground,Pizzeria,Department Store,Dhaba
198,Uppal,Movie Theater,Pizzeria,Indian Restaurant,Restaurant,Deli,Café,Coffee Shop,Retail,Bakery,Burger Joint,Bowling Alley,Clothing Store,Chinese Restaurant,"Cafe, Coffee, and Tea House",French Restaurant
199,Vanasthalipuram,Park,Movie Theater,Indian Restaurant,Ice Cream Parlor,Automotive Retail,Pizzeria,Bakery,Garden Center,Hospital,Shopping Mall,Chinese Restaurant,Retail,Coffee Shop,Concert Hall,Courthouse
200,Venkatapuram,Retail,Coffee Shop,Hindu Temple,Food Court,Healthcare Clinic,Office Building,Sports and Recreation,Juice Bar,Restaurant,Indian Restaurant,Community and Government,Other Great Outdoors,Chinese Restaurant,Bookstore,Education
201,Vidyanagar,Indian Restaurant,Restaurant,Movie Theater,Juice Bar,Chinese Restaurant,Hotel,Café,Ice Cream Parlor,Burger Joint,Deli,Bakery,Breakfast Spot,Lounge,Landmarks and Outdoors,South Indian Restaurant
202,Vikrampuri,Movie Theater,Indian Restaurant,Restaurant,Bakery,Deli,Pizzeria,Café,Burger Joint,South Indian Restaurant,French Restaurant,"Cafe, Coffee, and Tea House",Hotel,Retail,Sports and Recreation,Chinese Restaurant
203,Vinayak Nagar,Restaurant,Pizzeria,South Indian Restaurant,Indian Restaurant,Bakery,Diner,Movie Theater,Café,Retail,History Museum,Juice Bar,Monument,Miscellaneous Store,Fast Food Restaurant,Food Court
204,Warsiguda,Indian Restaurant,Restaurant,Bakery,Movie Theater,Chinese Restaurant,Burger Joint,Deli,Juice Bar,Café,French Restaurant,Breakfast Spot,Landmarks and Outdoors,Lounge,Retail,"Cafe, Coffee, and Tea House"
205,Yapral,Indian Restaurant,Bakery,Movie Theater,Juice Bar,Restaurant,South Indian Restaurant,Burger Joint,Chinese Restaurant,Ice Cream Parlor,Café,Diner,Retail,"Cafe, Coffee, and Tea House",Lounge,Dessert Shop
206,Yousufguda,Indian Restaurant,Bar,Restaurant,Bakery,Deli,Ice Cream Parlor,Coffee Shop,BBQ Joint,Retail,Dessert Shop,Arts and Entertainment,Fast Food Restaurant,Hookah Bar,Brewery,Breakfast Spot
